,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
ellipsis,1498.0,0.0033377837116154874,0.057696318061585844,0.0,0.0,0.0,0.0,1.0,17.28581689125112
quotation_marks,1498.0,0.12149532710280374,0.922475196389638,0.0,0.0,0.0,0.0,24.0,7.592680462591637
semicolons,1498.0,0.32777036048064084,1.568746346248198,0.0,0.0,0.0,0.0,32.0,4.786114107290837
polarity,1498.0,0.06208658115611378,0.14633585667357482,-1.0,0.0,0.05647755679729431,0.1192957551707552,1.0,2.356964322219969
exclamation_marks,1498.0,0.7977303070761015,1.4003798232365492,0.0,0.0,0.0,1.0,11.0,1.755455209379373
question_marks,1498.0,1.0420560747663552,1.800013075601903,0.0,0.0,0.0,1.0,17.0,1.727366807976714
colons,1498.0,2.572763684913218,4.082693057787288,0.0,1.0,2.0,3.0,79.0,1.5868900364725886
gpe_entities,1498.0,6.297062750333779,9.053791858189795,0.0,1.0,3.0,8.0,128.0,1.4377801551540668
dashes,1498.0,3.3918558077436582,4.55024503593052,0.0,0.0,2.0,5.0,46.0,1.3415207761904977
date_entities,1498.0,4.891855807743658,6.355977553602076,0.0,1.0,3.0,7.0,129.0,1.299297813222695
commas,1498.0,19.2890520694259,23.9704483010393,0.0,6.0,14.0,25.0,340.0,1.2426970602165384
coleman_liau_index,1498.0,12.079515397767723,14.823662879210227,-16.1,9.828036593947926,11.159173966091231,12.462066989386333,314.2,1.2271736399251263
automated_readability_index,1498.0,13.40913921139666,16.372674314938923,-6.300000000000001,10.276058467741933,12.263940932674313,14.235507963467299,327.61,1.2210086014338268
person_entities,1498.0,9.413885180240321,10.574524509216765,0.0,3.0,7.0,12.0,127.0,1.1232901513832587
org_entities,1498.0,9.602136181575434,10.06202783991951,0.0,3.0,7.0,13.0,123.0,1.047894723595622
