ngram,tfidf_score
trump,0.07425078654250773
media,0.0430809312955906
boiler,0.04225396629725008
21wire,0.0417551925086439
syria,0.03944011517967347
news,0.03860508890937827
clinton,0.03776744754368792
acr,0.03716128811088272
room,0.036832989251411305
russia,0.031515178149600774
president,0.03130359042943087
new,0.03095940727567268
political,0.030822138512025747
election,0.030744917228831485
pm,0.029083283715930726
radio,0.02762239237639524
said,0.0275393119362352
state,0.026471516932581384
government,0.02597325575983157
join,0.02564017553381094
