,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
ellipsis,778.0,0.006426735218508998,0.07996030485509198,0.0,0.0,0.0,0.0,1.0,12.441823435452312
quotation_marks,778.0,0.13110539845758354,0.6483592293571284,0.0,0.0,0.0,0.0,6.0,4.945328239606333
semicolons,778.0,0.4961439588688946,1.8615144579243186,0.0,0.0,0.0,0.0,31.0,3.7519643737438337
exclamation_marks,778.0,0.4794344473007712,1.1116389926050936,0.0,0.0,0.0,0.0,14.0,2.3186464778733584
question_marks,778.0,1.5154241645244215,2.694747956835599,0.0,0.0,0.0,2.0,20.0,1.7782136644767568
gpe_entities,778.0,15.521850899742931,24.661991153148445,0.0,2.0,6.0,18.0,200.0,1.588856336299229
dashes,778.0,8.831619537275063,13.937668844456693,0.0,1.0,4.0,9.0,125.0,1.5781554884277846
person_entities,778.0,17.911311053984576,27.773418596174068,0.0,5.0,8.0,20.0,255.0,1.5506077981932849
org_entities,778.0,19.77763496143959,28.874122825062035,0.0,4.0,9.0,22.0,266.0,1.459938100857754
date_entities,778.0,8.677377892030849,12.48597781600424,0.0,2.0,5.0,10.0,102.0,1.4389113821435784
commas,778.0,40.26992287917738,56.57178804236832,0.0,10.0,18.0,44.0,449.0,1.4048149089359256
char_count,778.0,4799.8470437017995,6476.518447079764,142.0,1129.5,2141.0,5730.25,51794.0,1.349317673690881
word_count,778.0,772.5488431876606,1040.851331242973,24.0,182.25,351.5,919.5,8135.0,1.3472951780605265
colons,778.0,4.953727506426735,6.6035299431013,0.0,2.0,3.0,5.0,52.0,1.3330426299254832
sentence_count,778.0,32.947300771208226,42.760246265175496,1.0,8.0,16.0,40.0,287.0,1.2978376153515598
