ngram,tfidf_score
trump,0.14151749316237916
people,0.040042876547997396
president,0.03946110519653967
donald,0.03584555708593698
said,0.0358011116623573
just,0.032369235252943294
obama,0.031403068220557356
like,0.029452119592805918
clinton,0.029195697324025393
white,0.027520958334722803
campaign,0.02560742202983994
republicans,0.024921768230094718
twitter,0.024883164421273186
republican,0.024684709341436583
right,0.023551564707936873
time,0.0232688952063011
hillary,0.02289941416057791
women,0.02211788619774937
house,0.021826982514497318
going,0.021620301905064775
