,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
ellipsis,9050.0,0.00033149171270718233,0.031535299873658204,0.0,0.0,0.0,0.0,3.0,95.13148795220225
semicolons,9050.0,0.46607734806629836,16.471275478062537,0.0,0.0,0.0,0.0,1310.0,35.340218842215734
quotation_marks,9050.0,0.5616574585635359,2.290246925554365,0.0,0.0,0.0,0.0,32.0,4.077657815515837
exclamation_marks,9050.0,0.6390055248618784,2.2332153145015536,0.0,0.0,0.0,1.0,133.0,3.494829430440785
question_marks,9050.0,1.3029834254143646,2.5435801376884446,0.0,0.0,1.0,2.0,94.0,1.9521201022795476
polarity,9050.0,0.05541268105743617,0.08659250970264748,-0.362280701754386,-0.0004295183982683898,0.0565745781995782,0.11030853250391064,0.4016250000000001,1.5626839930898289
colons,9050.0,2.4433149171270716,3.3648942102115402,0.0,1.0,2.0,3.0,166.0,1.377183999747397
date_entities,9050.0,4.7639779005524865,5.159837257231681,0.0,2.0,3.0,6.0,125.0,1.083094289046405
gpe_entities,9050.0,4.098674033149171,4.296643238564807,0.0,1.0,3.0,6.0,81.0,1.0483007928453212
dashes,9050.0,2.9051933701657457,2.9694852085433197,0.0,1.0,2.0,4.0,54.0,1.0221299687097614
sentence_count,9050.0,24.714254143646407,15.373204055799848,1.0,17.0,22.0,29.0,774.0,0.6220379529338143
org_entities,9050.0,9.394033149171271,5.653736285020415,0.0,5.0,9.0,12.0,71.0,0.6018433398352634
person_entities,9050.0,13.221767955801106,7.811458721591207,0.0,8.0,12.0,17.0,77.0,0.5908028901811045
commas,9050.0,22.523093922651935,11.99613925337755,1.0,16.0,21.0,27.0,518.0,0.5326150703173504
char_count,9050.0,2622.96364640884,966.1122968717625,260.0,2031.25,2426.0,3009.75,26734.0,0.3683285119847121
