ngram,tfidf_score
century wire,0.07562481224765373
wire says,0.04728974305396129
donald trump,0.04200710225619241
news 21st,0.04177211707156005
21wire tv,0.040064416486540445
member 21wire,0.03852799921796319
boiler room,0.037947893760774266
hillary clinton,0.03698883128956172
subscribe member,0.0326221026142258
21wire subscribe,0.031496784543558205
mainstream media,0.02848796581442418
fake news,0.02847005511957298
united states,0.027785275156862764
white house,0.02509981075789746
new york,0.02311280558230215
00 pm,0.022647159816436502
filessupport 21wire,0.022186691684324893
patrick henningsen,0.022039002498615862
continue story,0.021791362277250564
foreign policy,0.020264366459872944
