,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
ellipsis,783.0,0.006385696040868455,0.0797059134193304,0.0,0.0,0.0,0.0,1.0,12.481946041467138
quotation_marks,783.0,0.13026819923371646,0.6463676232979001,0.0,0.0,0.0,0.0,6.0,4.961822049433881
semicolons,783.0,0.5031928480204342,1.8662920614603737,0.0,0.0,0.0,0.0,31.0,3.708900213511352
exclamation_marks,783.0,0.48020434227330777,1.108813314252437,0.0,0.0,0.0,0.0,14.0,2.309044747499091
question_marks,783.0,1.5351213282247764,2.767361878964894,0.0,0.0,0.0,2.0,20.0,1.8026991274787953
gpe_entities,783.0,15.56449553001277,24.60944272681664,0.0,2.0,6.0,18.0,200.0,1.5811269102402092
dashes,783.0,8.901660280970626,13.969158018884537,0.0,1.0,4.0,9.5,125.0,1.5692755708445614
person_entities,783.0,18.015325670498083,27.783180805434434,0.0,5.0,8.0,20.0,255.0,1.542196977928198
org_entities,783.0,19.938697318007662,29.013425269539997,0.0,4.0,9.0,22.5,266.0,1.4551314364623251
date_entities,783.0,8.813537675606641,12.73940944745361,0.0,2.0,5.0,10.0,102.0,1.4454365450450917
commas,783.0,40.72924648786718,57.07078881869441,0.0,10.0,18.0,45.0,449.0,1.4012237824162843
char_count,783.0,4847.3371647509575,6527.821447886273,142.0,1134.0,2153.0,5776.0,51794.0,1.3466819464004942
word_count,783.0,780.5274584929757,1049.778528073735,24.0,183.0,355.0,927.5,8135.0,1.3449604067749559
colons,783.0,4.987228607918263,6.635357539371414,0.0,2.0,3.0,5.0,52.0,1.3304698984194154
sentence_count,783.0,33.30779054916986,43.27469539442619,1.0,8.0,16.0,40.5,287.0,1.2992364453157863
