rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,entity_density,-0.27974981045532255,0.27974981045532255,Lower ↓,0.09122368715810732,0.10217966771739966
2,exclamation_marks,0.26227123526409946,0.26227123526409946,Higher ↑,0.7977303070761015,0.4134456818849256
3,colons,0.26205223909663783,0.26205223909663783,Higher ↑,2.572763684913218,1.5789866040165361
4,avg_dependency_distance,-0.21454727528826334,0.21454727528826334,Lower ↓,3.023207317721929,3.1133789747064693
5,ellipsis,-0.20442904483595048,0.20442904483595048,Lower ↓,0.0033377837116154874,0.08073734384530237
6,date_entities,-0.201560755415766,0.201560755415766,Lower ↓,4.891855807743658,6.11950211218289
7,question_marks,0.19591895470609974,0.19591895470609974,Higher ↑,1.0420560747663552,0.6882779497142341
8,dashes,-0.1887809932549371,0.1887809932549371,Lower ↓,3.3918558077436582,4.417308604603881
9,smog_index,-0.16885506060836955,0.16885506060836955,Lower ↓,13.47898494800671,13.834173752989997
10,gpe_entities,-0.1609810640278529,0.1609810640278529,Lower ↓,6.297062750333779,7.950233808480358
