rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,char_count,1.0594163422220826,1.0594163422220826,Higher ↑,4799.8470437017995,2504.291052025211
2,word_count,1.031684051650433,1.031684051650433,Higher ↑,772.5488431876606,411.0593444326473
3,commas,0.9778730704308946,0.9778730704308946,Higher ↑,40.26992287917738,20.501140804662615
4,org_entities,0.8923417798589907,0.8923417798589907,Higher ↑,19.77763496143959,10.45769986671787
5,colons,0.8898961616720392,0.8898961616720392,Higher ↑,4.953727506426735,1.5789866040165361
6,smog_index,0.8160528177871353,0.8160528177871353,Higher ↑,15.550751414972666,13.834173752989997
7,dashes,0.8126536930391582,0.8126536930391582,Higher ↑,8.831619537275063,4.417308604603881
8,avg_sentence_length,0.8020953816960661,0.8020953816960661,Higher ↑,24.60787817132926,19.552049135147268
9,gpe_entities,0.7373023921247793,0.7373023921247793,Higher ↑,15.521850899742931,7.950233808480358
10,gunning_fog,0.7189062020515825,0.7189062020515825,Higher ↑,17.023205230262526,14.749803652883141
