rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,adv_ratio,0.9360991881477239,0.9360991881477239,Higher ↑,0.04483586791874689,0.02940218676562774
2,pronoun_ratio,0.7805823317148517,0.7805823317148517,Higher ↑,0.08072183141679522,0.05735961180367165
3,entity_density,-0.5939823433153644,0.5939823433153644,Lower ↓,0.07891724264074229,0.10217966771739966
4,subjectivity,0.5672642316296598,0.5672642316296598,Higher ↑,0.47590414298989203,0.40503733312914453
5,dale_chall_readability,-0.5416129435838353,0.5416129435838353,Lower ↓,10.38399069658087,11.002096532436418
6,gunning_fog,-0.5036761348537997,0.5036761348537997,Lower ↓,13.157025462630694,14.749803652883141
7,smog_index,-0.49763828740468535,0.49763828740468535,Lower ↓,12.78738517596799,13.834173752989997
8,proper_noun_ratio,-0.43587842231526225,0.43587842231526225,Lower ↓,0.10600325376284007,0.13123720834492164
9,lexical_diversity,-0.3931251509804799,0.3931251509804799,Lower ↓,0.578944898181419,0.6210042580409232
10,flesch_kincaid_grade,-0.37606114050416084,0.37606114050416084,Lower ↓,10.641855591901697,12.121851169664986
