rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,char_count,1.0813333899943902,1.0813333899943902,Higher ↑,4847.3371647509575,2504.291052025211
2,word_count,1.054454865721373,1.054454865721373,Higher ↑,780.5274584929757,411.0593444326473
3,commas,1.0005937512425838,1.0005937512425838,Higher ↑,40.72924648786718,20.501140804662615
4,org_entities,0.9077627745834748,0.9077627745834748,Higher ↑,19.938697318007662,10.45769986671787
5,colons,0.8987301736721323,0.8987301736721323,Higher ↑,4.987228607918263,1.5789866040165361
6,dashes,0.8255478615505198,0.8255478615505198,Higher ↑,8.901660280970626,4.417308604603881
7,smog_index,0.814999555743393,0.814999555743393,Higher ↑,15.548535864634387,13.834173752989997
8,avg_sentence_length,0.8022924675415177,0.8022924675415177,Higher ↑,24.60912045792359,19.552049135147268
9,gpe_entities,0.7414550041137707,0.7414550041137707,Higher ↑,15.56449553001277,7.950233808480358
10,gunning_fog,0.7175318593267707,0.7175318593267707,Higher ↑,17.018859137671406,14.749803652883141
