rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,smog_index,-0.4171813099538332,0.4171813099538332,Lower ↓,12.956627469153482,13.834173752989997
2,pronoun_ratio,0.41625023186385507,0.41625023186385507,Higher ↑,0.06981765618376067,0.05735961180367165
3,exclamation_marks,0.34334711422236025,0.34334711422236025,Higher ↑,0.9165241722369034,0.4134456818849256
4,gpe_entities,-0.310429987568398,0.310429987568398,Lower ↓,4.7623192911549825,7.950233808480358
5,avg_dependency_distance,-0.2996715831722251,0.2996715831722251,Lower ↓,2.987430587948755,3.1133789747064693
6,gunning_fog,-0.29647257898122886,0.29647257898122886,Lower ↓,13.812266562811828,14.749803652883141
7,colons,0.2694064305897538,0.2694064305897538,Higher ↑,2.6006528835690967,1.5789866040165361
8,date_entities,-0.2611631088816976,0.2611631088816976,Lower ↓,4.528835690968444,6.11950211218289
9,entity_density,-0.2587886973722576,0.2587886973722576,Lower ↓,0.09204459762473251,0.10217966771739966
10,question_marks,0.24597387172185808,0.24597387172185808,Higher ↑,1.1324420954453598,0.6882779497142341
