rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,pronoun_ratio,-0.5878801762034723,0.5878801762034723,Lower ↓,0.039764817219358116,0.05735961180367165
2,subjectivity,-0.5124144613031414,0.5124144613031414,Lower ↓,0.34102275901304857,0.40503733312914453
3,adv_ratio,-0.5051009335405728,0.5051009335405728,Lower ↓,0.021074472291445514,0.02940218676562774
4,entity_density,0.42325977317920527,0.42325977317920527,Higher ↑,0.11875600011574616,0.10217966771739966
5,smog_index,0.41627513332837257,0.41627513332837257,Higher ↑,14.709813882568882,13.834173752989997
6,dale_chall_readability,0.3854759583611651,0.3854759583611651,Higher ↑,11.442013898274197,11.002096532436418
7,gunning_fog,0.3824274994172645,0.3824274994172645,Higher ↑,15.95915652524309,14.749803652883141
8,avg_sentence_length,0.3614266075476715,0.3614266075476715,Higher ↑,21.830221006707408,19.552049135147268
9,person_entities,-0.35790823518680387,0.35790823518680387,Lower ↓,6.7767373090192216,10.689362278898502
10,colons,-0.354687968202087,0.354687968202087,Lower ↓,0.23390832922621982,1.5789866040165361
