ngram,tfidf_score
twitter com,0.039816898559644466
donald trump,0.037224279648640876
pic twitter,0.03575244525911082
president trump,0.029590427822363007
hillary clinton,0.02845809785101653
white house,0.024815714616231208
year old,0.02470378084322157
united states,0.024188775087966186
new york,0.020591383826127782
fox news,0.017624453741571865
barack obama,0.016124838447930927
lives matter,0.014882342487410629
black lives,0.014315042839167928
social media,0.013211110006388084
breitbart news,0.012196877872786685
bernie sanders,0.011316692237987038
law enforcement,0.011082429679859711
president obama,0.011077985954615805
daily mail,0.010927064712485494
police officers,0.01064568514537405
