ngram,tfidf_score
trump,0.09784281539759562
president,0.04418504695780675
house,0.04246709630899311
republican,0.03886506652214574
state,0.034244153781786385
clinton,0.033320306459773824
senate,0.03091124152320985
washington,0.030353452277431702
obama,0.030055170222273712
tax,0.02978248487551472
states,0.029721779134938772
white,0.029654938682592002
new,0.028733311664802093
united,0.027141734912749307
campaign,0.026593542210388666
donald,0.024224960471150074
election,0.02401640990391223
court,0.023981207222414626
told,0.022983743913481437
presidential,0.022843680733913373
