,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
quotation_marks,11271.0,0.039038239730281254,0.38365254986346886,0.0,0.0,0.0,0.0,16.0,9.827608839798085
question_marks,11271.0,0.12944725401472806,0.7962944602786699,0.0,0.0,0.0,0.0,57.0,6.151497506374838
exclamation_marks,11271.0,0.09289326590364652,0.5392936942027247,0.0,0.0,0.0,0.0,12.0,5.805519796904403
semicolons,11271.0,0.1104604737822731,0.557873124697791,0.0,0.0,0.0,0.0,14.0,5.05043211925205
colons,11271.0,0.4487623103540059,2.087359179385477,0.0,0.0,0.0,0.0,86.0,4.651369179686379
ellipsis,11271.0,0.1486114807914116,0.5403074948290519,0.0,0.0,0.0,0.0,22.0,3.6357049398317876
polarity,11271.0,0.06913041499287728,0.09365267845648524,-0.5476190476190476,0.018046391332681662,0.06593333333333334,0.11466245721332931,0.9375,1.354724667371584
gpe_entities,11271.0,10.195191198651406,10.42216505072435,0.0,3.0,7.0,13.0,150.0,1.0222628342765134
person_entities,11271.0,10.788661165823795,9.920610289142996,0.0,4.0,8.0,15.0,97.0,0.9195404449784185
dashes,11271.0,5.246828143021915,4.523068389715127,0.0,2.0,4.0,7.0,55.0,0.8620576596797132
commas,11271.0,20.828497915003105,16.904936685366927,0.0,7.0,18.0,29.0,271.0,0.8116253392036508
date_entities,11271.0,7.44157572531275,5.790204358587657,0.0,3.0,6.0,10.0,93.0,0.7780884818375358
org_entities,11271.0,13.084109661964334,10.058604954599504,1.0,5.0,11.0,18.0,95.0,0.768764953402981
sentence_count,11271.0,23.895927601809955,17.381825414896493,1.0,10.0,21.0,33.0,339.0,0.7273969734315707
word_count,11271.0,408.13219767545024,287.83916702121985,22.0,154.0,385.0,571.0,5172.0,0.7052596405297866
