,count,mean,std,min,25%,50%,75%,max,coefficient_of_variation
ellipsis,6433.0,0.001243587750660656,0.03524534499183835,0.0,0.0,0.0,0.0,1.0,28.341663041562015
semicolons,6433.0,0.24716306544380537,1.6164870165132859,0.0,0.0,0.0,0.0,55.0,6.5401641366226215
quotation_marks,6433.0,0.3404321467433546,1.4041988827352356,0.0,0.0,0.0,0.0,26.0,4.1247540696966984
polarity,6433.0,0.06955361014044553,0.15261569105121392,-1.0,0.0,0.060698299521828925,0.13181141774891778,1.0,2.1942166731970634
exclamation_marks,6433.0,0.9165241722369034,1.817641467343798,0.0,0.0,0.0,1.0,33.0,1.9831898845696494
colons,6433.0,2.6006528835690967,4.836684117788633,0.0,1.0,2.0,3.0,194.0,1.8597961105639138
question_marks,6433.0,1.1324420954453598,2.0379316277654174,0.0,0.0,0.0,1.0,34.0,1.7995901388352684
dashes,6433.0,3.1588683351468987,5.519775007377644,0.0,0.0,2.0,4.0,203.0,1.7473900212814522
coleman_liau_index,6433.0,12.159890167161263,19.20508779858569,-22.199999999999996,9.258581235697935,10.74583333333333,12.150214592274676,685.4000000000001,1.5793800383535155
automated_readability_index,6433.0,13.628904091567552,20.67879318165626,-8.8325,9.817629068462399,11.986354562737638,14.099192849404119,680.86,1.5172748331577592
gpe_entities,6433.0,4.7623192911549825,7.049637289505367,0.0,1.0,3.0,6.0,94.0,1.4802949694277328
commas,6433.0,17.381470542515157,21.034397436373066,0.0,5.0,12.0,23.0,362.0,1.2101621312720827
org_entities,6433.0,8.672314627700917,10.422281366671534,0.0,2.0,6.0,11.0,225.0,1.2017877365035756
date_entities,6433.0,4.528835690968444,5.355532850933923,0.0,1.0,3.0,6.0,85.0,1.1825407712658036
flesch_reading_ease,6433.0,48.148696654456934,51.08001933849419,-2078.3799999999997,42.83947368421056,51.01309394409938,59.41323383084581,121.22000000000003,1.0608806237284911
