ngram,tfidf_score
president donald trump,0.02722400554503353
prime minister theresa,0.016226675729719954
chancellor angela merkel,0.011858807629514318
president emmanuel macron,0.011552248283995486
told news conference,0.011377931658596354
president vladimir putin,0.010946459737939358
british prime minister,0.009291490685592907
president tayyip erdogan,0.009133323791629157
president xi jinping,0.008871369162639274
state news agency,0.008096525190784345
islamic state militants,0.007885371853845196
london reuters british,0.007671203969606663
french president emmanuel,0.007481801387861155
reuters president donald,0.007407798445855233
bashar al assad,0.007349678745116033
russian president vladimir,0.007233052841984513
foreign ministry said,0.007078957650775439
president bashar al,0.007025512767975106
london reuters britain,0.006733771688362393
mexico city reuters,0.006626261375072767
