ngram,ngram_length,real_count,fake_count,real_doc_freq,fake_doc_freq,frequency_ratio,frequency_difference,abs_frequency_difference,log_odds_ratio,abs_log_odds,chi2_statistic,chi2_p_value,preference,chi2_fdr_p_value,chi2_significant
pitt jennifer,2,1,41,5.7336161917321254e-05,0.007124239791485664,124.25386620330147,0.007066903629568343,0.007066903629568343,4.82941918137656,4.82941918137656,115.68934814070487,5.5589722733228e-27,fake,2.9593352396218433e-25,True
stefani blake,2,1,38,5.7336161917321254e-05,0.006602953953084275,115.16211989574283,0.006545617791166953,0.006545617791166953,4.752908385925386,4.752908385925386,106.58942969494169,5.4764531055994e-25,fake,2.7033763966731585e-23,True
jolie divorce,2,1,19,5.7336161917321254e-05,0.0033014769765421373,57.58105994787142,0.003244140814624816,0.003244140814624816,4.056443294349955,4.056443294349955,49.16534904111712,2.35270190147616e-12,fake,5.193159075209573e-11,True
fake news,2,1,19,5.7336161917321254e-05,0.0033014769765421373,57.58105994787142,0.003244140814624816,0.003244140814624816,4.056443294349955,4.056443294349955,49.16534904111712,2.35270190147616e-12,fake,5.193159075209573e-11,True
new report,2,1,17,5.7336161917321254e-05,0.002953953084274544,51.519895742832325,0.0028966169223572226,0.0028966169223572226,3.9448690449778767,3.9448690449778767,43.16229426380276,5.0382316134476126e-11,fake,9.565593587769418e-10,True
bf,1,2,24,0.00011467232383464251,0.004170286707211121,36.36698523023458,0.004055614383376478,0.004055614383376478,3.597725691605723,3.597725691605723,59.99806912538122,9.495047946871361e-15,fake,2.6576345542016235e-13,True
debunked,1,2,23,0.00011467232383464251,0.003996524761077324,34.8516941789748,0.0038818524372426816,0.0038818524372426816,3.554991602790602,3.554991602790602,57.013227240620004,4.328905186483404e-14,fake,1.0882386649354114e-12,True
neri,1,2,23,0.00011467232383464251,0.003996524761077324,34.8516941789748,0.0038818524372426816,0.0038818524372426816,3.554991602790602,3.554991602790602,57.013227240620004,4.328905186483404e-14,fake,1.0882386649354114e-12,True
rumor,1,3,33,0.00017200848575196377,0.005734144222415291,33.33640312771503,0.005562135736663328,0.005562135736663328,3.5122286111760754,3.5122286111760754,82.83952385342388,8.899265118888089e-20,fake,3.3557645552473834e-18,True
neri oxman,2,2,21,0.00011467232383464251,0.0036490008688097307,31.821112076455258,0.0035343285449750883,0.0035343285449750883,3.4636709670896226,3.4636709670896226,51.0577758581603,8.968690946486676e-13,fake,2.0811962324539595e-11,True
oxman,1,2,21,0.00011467232383464251,0.0036490008688097307,31.821112076455258,0.0035343285449750883,0.0035343285449750883,3.4636709670896226,3.4636709670896226,51.0577758581603,8.968690946486676e-13,fake,2.0811962324539595e-11,True
connecting,1,2,20,0.00011467232383464251,0.0034752389226759338,30.30582102519548,0.0033605665988412914,0.0033605665988412914,3.414706419800035,3.414706419800035,48.08838867442486,4.074320988116339e-12,fake,8.642016783387391e-11,True
aniston brad,2,2,19,0.00011467232383464251,0.0033014769765421373,28.79052997393571,0.003186804652707495,0.003186804652707495,3.363238772696499,3.363238772696499,45.12556940053019,1.8479673854812373e-11,fake,3.6622127383807e-10,True
