dataset_name,model_name,train_size,test_size,n_features,accuracy,f1_macro,f1_weighted,precision_fake,recall_fake,f1_fake,precision_real,recall_real,f1_real,roc_auc
original_imbalanced,Random Forest,18502,4626,10000,0.7980977086035452,0.7168508417635513,0.7932451919399781,0.607,0.5287456445993032,0.5651769087523277,0.850799779371208,0.8870040253018976,0.8685247747747747,0.8054221607996905
original_imbalanced,Logistic Regression,18502,4626,10000,0.8045827929096412,0.7530013797274566,0.8098531738213498,0.5894428152492669,0.7003484320557491,0.6401273885350318,0.894543225015328,0.8389879240943071,0.8658753709198813,0.8548221473753389
original_imbalanced,SVM,18502,4626,10000,0.7864245568525724,0.7339794749536697,0.793471705150575,0.5561797752808989,0.6898954703832753,0.6158631415241057,0.8888194878201124,0.8182863714778609,0.8520958083832335,0.8321006806346714
original_imbalanced,Naive Bayes,18502,4626,10000,0.816039775183744,0.7604149607140216,0.8185602355971321,0.6188951160928743,0.6733449477351916,0.6449728827701293,0.8889546935149542,0.863139735480161,0.875857038657914,0.8605449034548671
random_oversampling,Random Forest,27820,6956,10000,0.7265669925244393,0.7179767966244985,0.7179767966244985,0.8480565371024735,0.5520414031052329,0.6687565308254964,0.6679454390451833,0.9010925819436457,0.7671970624235006,0.8355892092280699
random_oversampling,Logistic Regression,27820,6956,10000,0.8709028177113284,0.8709000855473292,0.8709000855473292,0.8675213675213675,0.8755031627372053,0.8714939896966227,0.8743470690655832,0.8663024726854515,0.8703061813980358,0.938477164108182
random_oversampling,SVM,27820,6956,10000,0.8755031627372053,0.8754452433859331,0.8754452433859331,0.8599779492833517,0.8970672800460034,0.8781311567689276,0.8924278846153846,0.8539390454284072,0.8727593300029386,0.9345499072292411
random_oversampling,Naive Bayes,27820,6956,10000,0.8267682576193215,0.8266176685622311,0.8266176685622311,0.8472349526428353,0.7972972972972973,0.8215079247518886,0.8085799619875101,0.8562392179413456,0.8317274123725736,0.90636779249243
random_undersampling,Random Forest,9184,2296,10000,0.7221254355400697,0.7136060060999452,0.7136060060999452,0.839095744680851,0.5496515679442509,0.6642105263157895,0.6651554404145078,0.8945993031358885,0.763001485884101,0.820150026102053
random_undersampling,Logistic Regression,9184,2296,10000,0.7783101045296167,0.778274731894266,0.7782747318942661,0.7855227882037533,0.7656794425087108,0.7754741949713277,0.7714528462192014,0.7909407665505227,0.7810752688172043,0.8585727792009128
random_undersampling,SVM,9184,2296,10000,0.757404181184669,0.7573798345578435,0.7573798345578436,0.7523484201537147,0.7674216027874564,0.7598102630444157,0.7626666666666667,0.7473867595818815,0.7549494060712715,0.8315378054850732
random_undersampling,Naive Bayes,9184,2296,10000,0.7804878048780488,0.780487138629638,0.780487138629638,0.7814685314685315,0.7787456445993032,0.7801047120418848,0.7795138888888888,0.7822299651567944,0.7808695652173913,0.860037984557297
synthetic_augmentation,Random Forest,27820,6956,10000,0.7886716503737781,0.7823443241220502,0.7823443241220502,0.9380453752181501,0.618171362852214,0.7452339688041595,0.7152658662092625,0.9591719378953422,0.819454679439941,0.8794863036234329
synthetic_augmentation,Logistic Regression,27820,6956,10000,0.8769407705577918,0.8768013526671602,0.8768013526671602,0.9041307028360049,0.8433007475560667,0.8726569473371021,0.8531788793103449,0.9105807935595169,0.8809457579972183,0.9451405052906282
synthetic_augmentation,SVM,27820,6956,10000,0.8647211040828062,0.8646147089995264,0.8646147089995263,0.8863844045080719,0.8366877515813687,0.8608194054134004,0.8453580179689627,0.8927544565842438,0.8684100125856523,0.9321919906643948
synthetic_augmentation,Naive Bayes,27820,6956,10000,0.8581081081081081,0.8570193396418267,0.8570193396418266,0.933820968303727,0.7708453133985049,0.844542447629548,0.8048959608323133,0.9453709028177113,0.8694962316541055,0.9270729411951438
