feature,real_mean,fake_mean,synthetic_mean,distance_to_real,distance_to_fake,closer_to
has_reports,0.009517802878275328,0.07749782797567333,0.049451491258141925,0.0399336883798666,0.0280463367175314,FAKE
question_count,0.040421994151711486,0.1254561251086012,0.06753513884127528,0.027113144689563794,0.05792098626732593,REAL
is_question_headline,0.022590447795424573,0.07715030408340573,0.058021940349674325,0.03543149255424975,0.019128363733731404,FAKE
has_numbers,0.22315234218221433,0.11207645525629888,0.13147068906410697,0.09168165311810736,0.019394233807808095,FAKE
number_count,0.2600194942950519,0.12962641181581233,0.13986972917380872,0.12014976512124317,0.010243317357996384,FAKE
quantitative_content,0.2616249068287369,0.1308427454387489,0.23165923894412066,0.029965667884616243,0.10081649350537175,REAL
has_quotes,0.3439022991800929,0.23006081668114683,0.0737058621871786,0.2701964369929143,0.15635495449396825,FAKE
digit_count,0.6020297001318732,0.2955690703735882,0.27708261912924237,0.3249470810026308,0.018486451244345836,FAKE
quote_count,0.6771974084054814,0.4345786272806255,0.11458690435378814,0.5626105040516932,0.31999172292683736,FAKE
quote_ratio,0.009123217593242448,0.006039697601637738,0.0017701583468489714,0.007353059246393476,0.004269539254788767,FAKE
digit_ratio,0.010062778100716712,0.005069498065935235,0.004134827978412218,0.005927950122304494,0.0009346700875230169,FAKE
speculation_count,0.019895648185310474,0.05317115551694179,0.046880356530682205,0.02698470834537173,0.006290798986259588,FAKE
sentiment_polarity,0.08601125939648673,0.03349503784390822,0.07014181957333097,0.01586943982315575,0.036646781729422755,REAL
speculation_ratio,0.0016778108844408264,0.004184205306014793,0.005155177689030964,0.0034773668045901375,0.0009709723830161705,FAKE
reporting_verb_count,0.08715096611432831,0.14057341442224153,0.1562392869386356,0.06908832082430728,0.015665872516394064,FAKE
