ngram,ngram_length,real_count,fake_count,real_doc_freq,fake_doc_freq,frequency_ratio,frequency_difference,abs_frequency_difference,log_odds_ratio,abs_log_odds,chi2_statistic,chi2_p_value,preference,chi2_fdr_p_value,chi2_significant
brad pitt jennifer,3,1,41,5.7336161917321254e-05,0.007124239791485664,124.25386620330147,0.007066903629568343,0.007066903629568343,4.82941918137656,4.82941918137656,115.68934814070487,5.5589722733228e-27,fake,2.8183989425746595e-24,True
stefani blake shelton,3,1,38,5.7336161917321254e-05,0.006602953953084275,115.16211989574283,0.006545617791166953,0.006545617791166953,4.752908385925386,4.752908385925386,106.58942969494169,5.4764531055994e-25,fake,9.255205748462987e-23,True
gwen stefani blake,3,1,38,5.7336161917321254e-05,0.006602953953084275,115.16211989574283,0.006545617791166953,0.006545617791166953,4.752908385925386,4.752908385925386,106.58942969494169,5.4764531055994e-25,fake,9.255205748462987e-23,True
pitt jennifer aniston,3,1,36,5.7336161917321254e-05,0.006255430060816681,109.10095569070373,0.0061980938988993595,0.0061980938988993595,4.698491392003764,4.698491392003764,100.52612045831053,1.1684582399976655e-23,fake,1.481020819197041e-21,True
angelina jolie divorce,3,1,19,5.7336161917321254e-05,0.0033014769765421373,57.58105994787142,0.003244140814624816,0.003244140814624816,4.056443294349955,4.056443294349955,49.16534904111712,2.35270190147616e-12,fake,7.016587435578902e-11,True
brad pitt dating,3,1,13,5.7336161917321254e-05,0.002258905299739357,39.39756733275412,0.0022015691378220355,0.0022015691378220355,3.675908194243498,3.675908194243498,31.216761316756,2.3076497034128748e-08,fake,3.77412386977525e-07,True
kanye west reportedly,3,1,13,5.7336161917321254e-05,0.002258905299739357,39.39756733275412,0.0022015691378220355,0.0022015691378220355,3.675908194243498,3.675908194243498,31.216761316756,2.3076497034128748e-08,fake,3.77412386977525e-07,True
brad pitt divorce,3,1,10,5.7336161917321254e-05,0.0017376194613379669,30.30582102519548,0.0016802832994206457,0.0016802832994206457,3.4130216001741602,3.4130216001741602,22.351732939116822,2.270081163939311e-06,fake,2.951105513121104e-05,True
jennifer aniston brad,3,2,19,0.00011467232383464251,0.0033014769765421373,28.79052997393571,0.003186804652707495,0.003186804652707495,3.363238772696499,3.363238772696499,45.12556940053019,1.8479673854812373e-11,fake,4.684597322194937e-10,True
aniston brad pitt,3,2,19,0.00011467232383464251,0.0033014769765421373,28.79052997393571,0.003186804652707495,0.003186804652707495,3.363238772696499,3.363238772696499,45.12556940053019,1.8479673854812373e-11,fake,4.684597322194937e-10,True
aniston angelina jolie,3,1,9,5.7336161917321254e-05,0.0015638575152041702,27.275238922675932,0.001506521353286849,0.001506521353286849,3.307487035259955,3.307487035259955,19.428574683114277,1.044328017689854e-05,fake,0.00012606531070684666,True
jennifer aniston angelina,3,1,9,5.7336161917321254e-05,0.0015638575152041702,27.275238922675932,0.001506521353286849,0.001506521353286849,3.307487035259955,3.307487035259955,19.428574683114277,1.044328017689854e-05,fake,0.00012606531070684666,True
middleton meghan markle,3,1,8,5.7336161917321254e-05,0.0013900955690703736,24.244656820156386,0.0013327594071530524,0.0013327594071530524,3.189529980635065,3.189529980635065,16.53004416663639,4.788528138315411e-05,fake,0.0005057882846095653,True
kate middleton meghan,3,1,8,5.7336161917321254e-05,0.0013900955690703736,24.244656820156386,0.0013327594071530524,0.0013327594071530524,3.189529980635065,3.189529980635065,16.53004416663639,4.788528138315411e-05,fake,0.0005057882846095653,True
grey s anatomy,3,65,1,0.0037268505246258817,0.0001737619461337967,0.04662434003876228,-0.003553088578492085,0.003553088578492085,-3.069192591273468,3.069192591273468,18.022110264310715,2.18354113817688e-05,real,0.00025160349023992687,True
degeneres portia rossi,3,2,14,0.00011467232383464251,0.0024326672458731538,21.214074717636837,0.0023179949220385114,0.0023179949220385114,3.0569858152571365,3.0569858152571365,30.451373209652928,3.423409098403783e-08,fake,5.104907096737406e-07,True
